"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"46","Workshop: Alternative Materials with Olivia Ann Carye Hallstein","","Workshop: Alternative Materials with Olivia Ann Carye Hallstein","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Join us for fun with art materials! During this workshop, host <span class=\"il\">Olivia</span> Ann Carye Hallstein will help us see the value in our trash, and the possibilities in our creations, and what material sustainability looks like in practice. ","2022-11-23 00:00:00","2022-11-23 01:00:00","Workshop","workshop",""
"47","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-11-24 17:00:00","2022-11-24 18:00:00","Office Hours","office-hours",""
"48","Global Network Meeting: Networking","","Global Network Meeting: Networking","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Join us for this installation of our global networking session where you can meet other Ki Futures Champions, Team Members, and Coaches from around the world. Grow your network and your knowledge here.</p>","2022-11-29 17:00:00","2022-11-29 18:00:00","Global Network Meeting","global-network-meeting",""
"49","Core Training: Sustainable Tourism","","Core Training: Sustainable Tourism","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>In line with Ki Culture&#8217;s sixth Ki Book, Sustainable Tourism outlines the role of culture in promoting sustainable and positive international experiences. Travel makes us richer &#8211; but it can be damaging not only to the planet, but also to c","2022-12-07 00:00:00","2022-12-07 01:00:00","Core Training","core-training",""
"50","Social: Technicians, Designers and Builders","","Social: Technicians, Designers and Builders","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is technicians, designers and builders.</p>","2022-12-07 17:00:00","2022-12-07 18:00:00","Social","social",""
"51","Global Network Meeting: Champion Presentations","","Global Network Meeting: Champion Presentations","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Join us for our first Champion Presentations Global Network Meeting where you will have the chance to present your projects, ideas, or successes to your colleagues around the world. Please let your Coach know if you would like to present!</p>","2022-05-03 17:00:00","2022-05-03 18:00:00","Global Network Meeting","global-network-meeting",""
"52","European Theatre Convention &#8211; Pilot Feedback Session","","European Theatre Convention &#8211; Pilot Feedback Session","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>It has been such a pleasure sharing this journey together! We believe that Ki Futures can continue to provide a collaborative, international approach to sustainability for the theatre sector, which is why we would like to move forward with the program.","2022-05-04 15:00:00","2022-05-04 16:00:00","ETC Events","etc-events",""
"53","Core Training: Materials","","Core Training: Materials","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>This Core Training will go over the various key theoretical concepts related to materials, including and introduction to Circular Economy and LCA. Learn how to look at materials differently and why the word &#8220;waste&#8221; ISN&#8217;T used here.</p","2022-05-10 17:00:00","2022-05-10 18:00:00","Core Training","core-training",""
"54","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-05-12 00:00:00","2022-05-12 01:00:00","Office Hours","office-hours",""
"55","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-17 11:00:00","2022-05-17 12:00:00","Regional Network Meeting","regional-network-meeting",""
